code,description
87.30,Djelatnosti smještaja za starije osobe i osobe s invaliditetom
87.90,Ostale djelatnosti smještaja socijalne zaštite
88.10,Socijalna zaštita bez smještaja za starije osobe i osobe s invaliditetom
88.91,Dnevna briga o djeci
88.99,Ostale djelatnosti socijalne zaštite bez smještaja, d. n.
90.01,Izvođačka umjetnost
90.02,Pomoćne djelatnosti u izvođačkoj umjetnosti
90.03,Umjetničko stvaralaštvo
90.04,Rad umjetničkih objekata
91.01,Djelatnosti biblioteka i arhiva
91.02,Djelatnosti muzeja
91.03,Upravljanje historijskim lokalitetima i građevinama te sličnim znamenitostima
91.04,Djelatnosti botaničkih i zooloških vrtova i prirodnih rezervata
92.00,Djelatnosti kockanja i klađenja
93.11,Upravljanje sportskim objektima
93.12,Djelatnosti sportskih klubova
93.13,Fitnes centri
93.19,Ostale sportske djelatnosti
93.21,Djelatnosti zabavnih i tematskih parkova
93.29,Ostale zabavne i rekreacijske djelatnosti
code,description
94.11,Djelatnosti poslovnih i poslodavačkih organizacija
94.12,Djelatnosti strukovnih organizacija
94.20,Djelatnosti sindikata
94.91,Djelatnosti vjerskih organizacija
94.92,Djelatnosti političkih organizacija
94.99,Djelatnosti ostalih članskih organizacija, d. n.
95.11,Popravak računara i periferne opreme
95.12,Popravak komunikacijske opreme
95.21,Popravak elektroničke opreme za široku potrošnju
95.22,Popravak kućanskih aparata te opreme za kuću i vrt
95.23,Popravak obuće i kožnih proizvoda
95.24,Popravak namještaja i opreme za domaćinstvo
95.25,Popravak satova i nakita
95.29,Popravak ostalih ličnih i kućnih predmeta
96.01,Pranje i hemijsko čišćenje tekstila i krznenih proizvoda
96.02,Frizerski i drugi tretmani za uljepšavanje
96.03,Pogrebne i srodne djelatnosti
96.04,Djelatnosti za njegu i održavanje tijela
96.09,Ostale lične uslužne djelatnosti, d. n.
97.00,Djelatnosti domaćinstava kao poslodavaca kućnog osoblja
98.10,Djelatnosti domaćinstava koja proizvode različite proizvode za vlastite potrebe
98.20,Djelatnosti domaćinstava koja pružaju različite usluge za vlastite potrebe
99.00,Djelatnosti eksteritorijalnih organizacija i tijela
